Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-09-10,SPY,9.0,650.33,5852.97,0.0,AUTO BUY - close>50dSMA,,
2025-09-10,IWM,20.0,236.85,4737.0,0.0,AUTO BUY - close>50dSMA,,
2025-09-10,QQQ,6.0,580.51,3483.06,0.0,AUTO BUY - close>50dSMA,,
2025-09-10,XBI,28.0,94.98,2659.44,0.0,AUTO BUY - close>50dSMA,,
